# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
1,21,3,27,35,1,22,0
2,29,3,1,55,0,65,0
3,22,7,2,35,0,55,1
2,19,3,1,35,1,55,1
2,29,3,2,35,0,35,0
3,23,3,1,55,1,55,1
1,22,3,1,35,1,35,0
1,29,3,1,35,1,35,1
1,1,6,18,35,1,35,1
2,26,3,58,18,0,22,1
3,30,3,1,35,0,35,0
1,20,3,26,55,1,55,1
2,29,3,1,35,1,35,1
3,1,9,1,22,1,22,0
1,29,3,1,65,1,35,0
1,22,3,1,35,1,55,1
3,24,3,1,18,1,55,1
1,31,3,1,55,1,55,1
2,27,3,1,22,0,55,0
3,22,3,1,35,0,35,0
1,22,3,1,35,1,35,0
1,1,2,1,22,1,22,0
2,31,3,1,22,1,35,0
3,26,3,1,35,1,65,1
1,28,3,1,35,1,22,0
3,24,3,1,35,0,55,1
3,27,3,1,35,1,55,1
2,31,3,1,35,0,35,0
1,24,3,1,35,1,35,0
1,29,3,1,35,0,55,0
2,21,3,1,55,1,35,0
2,24,3,1,55,1,35,0
1,28,3,4,35,1,35,0
3,27,3,3,35,1,35,0
3,22,3,1,35,1,22,0
3,30,3,2,35,1,55,1
1,26,3,1,35,1,35,1
3,24,3,1,35,1,22,1
1,25,3,1,35,1,35,1
2,21,3,1,35,1,55,1
2,24,3,26,35,1,35,0
3,30,3,1,22,1,35,1
1,26,3,1,35,1,35,1
2,24,3,2,55,1,65,1
1,22,3,1,55,1,55,0
2,22,3,1,35,1,35,0
1,27,3,1,35,1,35,1
2,24,3,1,35,1,35,0
3,24,3,1,35,0,35,0
2,29,3,2,55,1,55,1
2,26,3,1,22,1,55,1
3,22,3,1,35,1,22,0
3,23,3,1,35,1,35,0
2,18,3,1,18,0,35,0
2,25,3,1,35,1,65,1
1,25,3,1,55,1,55,1
1,25,3,1,18,1,18,0
1,26,3,1,35,1,35,0
2,24,3,1,55,1,55,0
2,22,3,1,55,0,35,0
1,31,3,1,55,1,55,0
2,30,3,1,35,1,65,0
1,22,3,1,18,1,18,0
2,27,3,1,35,0,35,1
1,13,3,366,35,1,22,0
2,31,3,2,35,1,35,0
1,29,3,1,55,1,35,0
1,23,3,1,35,1,55,1
1,25,3,1,35,1,35,1
1,24,3,1,35,1,35,0
2,23,3,2,35,1,35,0
1,27,3,1,35,1,35,0
1,28,3,1,22,1,35,0
1,30,3,1,35,1,65,1
3,28,3,1,35,1,35,0
1,23,3,2,35,1,35,0
3,31,3,1,35,1,35,0
2,27,3,2,35,1,55,1
1,19,3,2,35,1,55,0
3,30,3,2,35,1,22,0
2,30,3,1,35,1,35,0
2,22,3,1,35,0,35,0
1,4,3,1,22,1,22,0
1,27,3,1,35,1,35,1
1,29,3,1,35,1,35,1
1,27,3,1,35,1,35,0
1,27,3,1,55,1,35,0
3,28,3,1,55,1,35,0
1,29,3,1,35,0,35,1
2,28,3,14,55,1,35,0
2,31,3,1,55,1,55,1
2,26,3,1,55,0,35,0
1,24,1,23,35,1,35,0
1,28,3,5,35,1,22,0
3,29,3,2,22,1,35,0
3,30,3,1,22,1,22,0
2,19,3,271,35,0,35,1
1,14,3,1,35,1,35,0
2,25,3,1,55,1,55,1
1,23,3,2,35,1,35,1
1,26,3,1,35,1,35,0
1,21,3,1,22,1,35,1
3,29,3,2,22,1,35,1
2,22,3,2,35,1,35,0
3,26,3,1,55,1,35,1
2,22,3,1,35,1,35,0
1,30,3,1,65,1,35,1
1,24,3,1,35,0,55,0
2,30,3,1,35,1,35,1
1,27,3,1,35,1,35,0
2,26,3,1,55,1,35,0
1,25,3,1,35,1,35,1
1,30,3,1,35,1,22,0
1,22,3,1,55,1,55,0
1,31,3,1,35,1,35,0
2,20,3,2,55,0,65,1
1,19,3,99,55,1,35,0
1,30,3,3,35,1,65,0
2,26,3,1,35,1,18,0
1,27,3,5,35,1,55,0
3,22,3,1,22,1,22,0
1,27,3,1,35,1,35,1
2,31,3,1,55,1,55,1
2,27,3,2,22,0,22,1
2,28,3,1,55,1,35,1
2,26,3,1,35,1,35,0
1,31,3,1,55,1,35,1
2,26,3,1,35,1,35,0
2,29,3,1,35,1,22,0
1,21,3,25,35,1,22,0
1,23,3,1,35,1,35,0
1,21,9,2,22,1,18,0
2,21,3,1,55,0,55,1
1,27,3,1,35,1,35,0
1,18,3,61,22,1,35,1
1,31,3,1,18,1,35,0
1,25,3,1,55,1,35,0
1,31,3,1,35,1,55,1
2,1,3,634,35,0,65,0
2,31,3,2,35,1,35,0
3,9,2,1,35,1,18,1
1,25,3,2,55,1,55,1
2,30,3,1,55,1,65,0
1,23,3,2,35,0,35,1
3,27,3,1,35,1,35,0
1,26,3,1,35,1,22,1
1,25,3,1,35,1,55,1
3,15,3,1,35,1,35,1
1,26,3,2,35,1,35,1
2,9,3,2,55,1,65,1
1,25,3,1,35,0,35,1
1,31,3,1,35,1,55,0
3,30,3,2,65,1,35,1
1,20,3,1,35,1,22,0
1,27,3,1,35,0,35,0
3,22,3,1,55,0,55,1
1,23,3,1,18,0,18,0
1,26,3,2,35,1,22,0
2,27,3,1,22,1,35,1
1,23,3,1,35,0,35,0
1,28,3,1,35,1,35,1
2,29,3,1,55,0,55,0
2,22,3,1,35,1,35,1
2,25,3,1,55,0,35,0
2,31,3,2,35,1,55,0
2,31,3,1,65,1,35,0
3,22,3,1,35,1,35,0
1,24,3,1,35,1,22,1
1,31,3,1,22,1,35,0
2,27,3,1,35,1,22,1
3,29,3,1,35,1,22,1
2,28,3,1,35,1,18,1
1,25,3,1,35,1,35,0
1,26,3,1,18,1,35,0
2,22,3,1,22,1,55,1
1,29,3,1,35,1,65,0
2,29,3,1,35,1,55,0
2,25,3,1,22,1,22,0
2,23,3,1,55,1,55,0
1,25,3,1,55,1,35,0
1,25,3,1,55,1,18,1
1,26,3,1,35,1,22,1
1,1,5,42997,35,0,35,0
3,23,3,1,22,1,35,0
1,27,3,1,55,1,35,1
1,31,3,2,55,1,35,1
3,26,3,1,35,0,18,1
2,23,3,1,35,0,35,0
3,24,3,1,35,1,35,1
1,26,3,2,22,1,22,0
3,22,3,1,18,1,18,1
3,23,3,1,22,0,35,1
1,28,3,1,35,1,35,0
2,31,3,1,55,0,55,0
1,23,3,1,18,1,35,1
1,31,3,2,35,0,18,1
1,25,3,1,35,1,22,0
1,28,3,1,35,1,35,0
3,27,3,1,22,0,35,0
2,24,3,3,55,0,55,1
3,28,3,1,55,1,55,0
3,25,3,2,18,0,18,0
3,27,3,1,35,1,55,1
2,29,3,1,35,1,55,1
2,26,3,1,35,0,65,0
2,27,3,1,35,1,22,0
1,22,3,1,35,1,35,0
1,23,3,1,35,1,35,0
1,22,3,1,22,0,55,0
3,27,3,1,35,1,35,1
2,29,3,1,35,1,55,1
1,29,3,2,35,0,18,0
3,29,3,1,35,1,22,0
1,25,3,1,35,1,35,1
1,25,3,1,35,1,35,0
2,17,12,50,35,1,35,1
2,23,3,1,35,1,55,1
2,23,3,1,55,1,55,1
1,29,3,2,22,0,35,0
2,26,3,1,65,0,35,0
