# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
32,VIOLATION,20,3,25-44,M,25-44,F
32,MISDEMEANOR,27,3,18-24,M,18-24,F
9,VIOLATION,25,3,25-44,F,45-64,F
19,MISDEMEANOR,29,3,45-64,M,45-64,M
25,VIOLATION,22,3,18-24,M,18-24,F
6,MISDEMEANOR,29,3,25-44,M,25-44,F
24,FELONY,29,3,18-24,F,65+,F
13,VIOLATION,13,2,45-64,M,25-44,F
34,MISDEMEANOR,30,3,18-24,M,25-44,M
25,MISDEMEANOR,31,3,25-44,M,25-44,F
19,FELONY,24,3,45-64,M,<18,F
24,MISDEMEANOR,27,3,45-64,M,45-64,F
13,MISDEMEANOR,31,3,25-44,M,65+,M
25,MISDEMEANOR,1,4,18-24,M,<18,F
32,VIOLATION,24,3,25-44,F,25-44,F
23,VIOLATION,29,3,45-64,M,45-64,F
5,MISDEMEANOR,25,3,45-64,M,45-64,F
20,FELONY,30,3,<18,M,<18,M
13,VIOLATION,24,3,25-44,F,45-64,M
14,FELONY,25,3,25-44,M,25-44,F
5,FELONY,22,3,25-44,M,65+,M
14,MISDEMEANOR,31,3,25-44,M,18-24,F
33,FELONY,27,3,25-44,M,25-44,M
30,FELONY,28,3,25-44,M,25-44,M
14,MISDEMEANOR,23,3,25-44,F,25-44,F
28,MISDEMEANOR,15,3,25-44,F,25-44,F
23,MISDEMEANOR,23,3,25-44,F,25-44,F
18,VIOLATION,1,3,25-44,M,25-44,F
20,MISDEMEANOR,21,3,25-44,M,18-24,F
6,VIOLATION,29,3,45-64,F,65+,F
19,FELONY,22,7,25-44,F,45-64,M
1,VIOLATION,19,3,25-44,M,45-64,M
32,VIOLATION,29,3,25-44,F,25-44,F
24,FELONY,23,3,45-64,M,45-64,M
28,MISDEMEANOR,22,3,25-44,M,25-44,F
23,MISDEMEANOR,29,3,25-44,M,25-44,M
17,MISDEMEANOR,1,6,25-44,M,25-44,M
25,VIOLATION,26,3,<18,F,18-24,M
9,FELONY,30,3,25-44,F,25-44,F
34,MISDEMEANOR,20,3,45-64,M,45-64,M
25,VIOLATION,29,3,25-44,M,25-44,M
9,FELONY,1,9,18-24,M,18-24,F
30,MISDEMEANOR,29,3,65+,M,25-44,F
5,MISDEMEANOR,22,3,25-44,M,45-64,M
34,FELONY,24,3,<18,M,45-64,M
19,MISDEMEANOR,31,3,45-64,M,45-64,M
28,VIOLATION,27,3,18-24,F,45-64,F
28,FELONY,22,3,25-44,F,25-44,F
32,MISDEMEANOR,22,3,25-44,M,25-44,F
23,MISDEMEANOR,1,2,18-24,M,18-24,F
26,VIOLATION,31,3,18-24,M,25-44,F
13,FELONY,26,3,25-44,M,65+,M
32,MISDEMEANOR,28,3,25-44,M,18-24,F
6,FELONY,24,3,25-44,F,45-64,M
18,FELONY,27,3,25-44,M,45-64,M
28,VIOLATION,31,3,25-44,F,25-44,F
28,MISDEMEANOR,24,3,25-44,M,25-44,F
7,MISDEMEANOR,29,3,25-44,F,45-64,F
18,VIOLATION,21,3,45-64,M,25-44,F
28,VIOLATION,24,3,45-64,M,25-44,F
26,MISDEMEANOR,28,3,25-44,M,25-44,F
23,FELONY,27,3,25-44,M,25-44,F
19,FELONY,22,3,25-44,M,18-24,F
30,FELONY,30,3,25-44,M,45-64,M
25,MISDEMEANOR,26,3,25-44,M,25-44,M
14,FELONY,24,3,25-44,M,18-24,M
13,MISDEMEANOR,25,3,25-44,M,25-44,M
24,VIOLATION,21,3,25-44,M,45-64,M
34,VIOLATION,24,3,25-44,M,25-44,F
34,FELONY,30,3,18-24,M,25-44,M
14,MISDEMEANOR,26,3,25-44,M,25-44,M
24,VIOLATION,24,3,45-64,M,65+,M
33,MISDEMEANOR,22,3,45-64,M,45-64,F
23,VIOLATION,22,3,25-44,M,25-44,F
24,MISDEMEANOR,27,3,25-44,M,25-44,M
23,VIOLATION,24,3,25-44,M,25-44,F
13,FELONY,24,3,25-44,F,25-44,F
20,VIOLATION,29,3,45-64,M,45-64,M
24,VIOLATION,26,3,18-24,M,45-64,M
14,FELONY,22,3,25-44,M,18-24,F
17,FELONY,23,3,25-44,M,25-44,F
14,VIOLATION,18,3,<18,F,25-44,F
23,VIOLATION,25,3,25-44,M,65+,M
6,MISDEMEANOR,25,3,45-64,M,45-64,M
32,MISDEMEANOR,25,3,<18,M,<18,F
18,MISDEMEANOR,26,3,25-44,M,25-44,F
32,VIOLATION,24,3,45-64,M,45-64,F
23,VIOLATION,22,3,45-64,F,25-44,F
23,MISDEMEANOR,31,3,45-64,M,45-64,F
25,VIOLATION,30,3,25-44,M,65+,F
23,MISDEMEANOR,22,3,<18,M,<18,F
18,VIOLATION,27,3,25-44,F,25-44,M
9,MISDEMEANOR,13,3,25-44,M,18-24,F
20,VIOLATION,31,3,25-44,M,25-44,F
30,MISDEMEANOR,29,3,45-64,M,25-44,F
20,MISDEMEANOR,23,3,25-44,M,45-64,M
20,MISDEMEANOR,25,3,25-44,M,25-44,M
32,MISDEMEANOR,24,3,25-44,M,25-44,F
14,VIOLATION,23,3,25-44,M,25-44,F
9,MISDEMEANOR,27,3,25-44,M,25-44,F
30,MISDEMEANOR,28,3,18-24,M,25-44,F
19,MISDEMEANOR,30,3,25-44,M,65+,M
33,FELONY,28,3,25-44,M,25-44,F
30,MISDEMEANOR,23,3,25-44,M,25-44,F
23,FELONY,31,3,25-44,M,25-44,F
24,VIOLATION,27,3,25-44,M,45-64,M
32,MISDEMEANOR,19,3,25-44,M,45-64,F
7,FELONY,30,3,25-44,M,18-24,F
17,VIOLATION,30,3,25-44,M,25-44,F
1,VIOLATION,22,3,25-44,F,25-44,F
33,MISDEMEANOR,4,3,18-24,M,18-24,F
18,MISDEMEANOR,27,3,25-44,M,25-44,M
5,MISDEMEANOR,29,3,25-44,M,25-44,M
13,MISDEMEANOR,27,3,25-44,M,25-44,F
25,MISDEMEANOR,27,3,45-64,M,25-44,F
19,FELONY,28,3,45-64,M,25-44,F
7,MISDEMEANOR,29,3,25-44,F,25-44,M
25,VIOLATION,28,3,45-64,M,25-44,F
1,VIOLATION,31,3,45-64,M,45-64,M
5,VIOLATION,26,3,45-64,F,25-44,F
7,MISDEMEANOR,24,1,25-44,M,25-44,F
26,MISDEMEANOR,28,3,25-44,M,18-24,F
7,FELONY,29,3,18-24,M,25-44,F
14,FELONY,30,3,18-24,M,18-24,F
5,VIOLATION,19,3,25-44,F,25-44,M
33,MISDEMEANOR,14,3,25-44,M,25-44,F
20,VIOLATION,25,3,45-64,M,45-64,M
18,MISDEMEANOR,23,3,25-44,M,25-44,M
28,MISDEMEANOR,26,3,25-44,M,25-44,F
5,MISDEMEANOR,21,3,18-24,M,25-44,M
18,FELONY,29,3,18-24,M,25-44,M
17,VIOLATION,22,3,25-44,M,25-44,F
1,FELONY,26,3,45-64,M,25-44,M
32,VIOLATION,22,3,25-44,M,25-44,F
14,MISDEMEANOR,30,3,65+,M,25-44,M
25,MISDEMEANOR,24,3,25-44,F,45-64,F
33,VIOLATION,30,3,25-44,M,25-44,M
24,MISDEMEANOR,27,3,25-44,M,25-44,F
23,VIOLATION,26,3,45-64,M,25-44,F
33,MISDEMEANOR,25,3,25-44,M,25-44,M
18,MISDEMEANOR,30,3,25-44,M,18-24,F
33,MISDEMEANOR,22,3,45-64,M,45-64,F
9,MISDEMEANOR,31,3,25-44,M,25-44,F
18,VIOLATION,20,3,45-64,F,65+,M
32,MISDEMEANOR,19,3,45-64,M,25-44,F
20,MISDEMEANOR,30,3,25-44,M,65+,F
